barcode,catalog_no,order,family,family_name,collector_name,year_collected,country,province_state,ezid
1160457,99194,Solanales,Hydrophyllaceae,Waterleaf family,C. D. Walcott,1900,United States,Colorado,http://n2t.net/ark:/65665/30a751787-3a18-4f16-87e4-5a8897e19819
3089925,80416,Apiales,Apiaceae,Umbellifers ,C. D. Walcott,1900,United States,New Mexico,http://n2t.net/ark:/65665/3d8b58966-9a8b-4b3b-9ec4-7174f29be951
3088994,80403,Apiales,Apiaceae,Umbellifers,C. D. Walcott,1900,United States,New Mexico,http://n2t.net/ark:/65665/3c0f352f5-2101-4057-92b1-6f807b109bcf
1805301,27505,Asterales,Asteraceae,Daisy family ,C. D. Walcott,1900,United States,New Mexico,http://n2t.net/ark:/65665/3db47f2f9-1144-47d3-bdae-e962d2768ea3
2180001,,Asterales,Asteraceae,Daisy family ,C. D. Walcott,1900,United States,New Mexico,http://n2t.net/ark:/65665/3cd015798-9922-4328-b5bb-6caad7fa8793
1695516,67945,Asterales,Asteraceae,Daisy family ,C. D. Walcott,1900,United States,New Mexico,http://n2t.net/ark:/65665/39633027c-8cff-40f8-9b9d-44ca366c850e
903985,94672,Asterales,Campanulaceae,Bellflower family,C. D. Walcott,1900,United States,New Mexico,http://n2t.net/ark:/65665/3095cf38f-2059-429a-958e-a400a6c20b1c
2332553,,Rosales,Fabaceae,legumes,C. D. Walcott,1900,United States,New Mexico,http://n2t.net/ark:/65665/3c5e2c7b4-f46a-4750-9c9c-f7fc0f93703c
2033952,,Rosales,Fabaceae,legumes,C. D. Walcott,1900,United States,New Mexico,http://n2t.net/ark:/65665/33970c5f8-aeee-411f-92dd-611df0d264f4
1271837,102663,Myrtales,Onagraceae,Evening primroses,C. D. Walcott,1900,United States,New Mexico,http://n2t.net/ark:/65665/3fd6263a6-d8b2-4909-8c7a-c4ff3f20f4f1
95527,47980,Rosales,Rosaceae,Rose family,C. D. Walcott,1900,United States,New Mexico,http://n2t.net/ark:/65665/363015cd3-a643-4ff1-a8b0-dd46c9ece2b3
178076,3046523,Caryophyllales,Cactaceae,Cactus,C. D. Walcott,1905,Canada,Alberta,http://n2t.net/ark:/65665/360a320f8-e882-4925-8dff-188e6981862b
173042,1434394,Caryophyllales,Cactaceae,Cactus,C. D. Walcott,1905,United States,Arizona,http://n2t.net/ark:/65665/3406c42be-ab81-4e46-ae21-64bd64a7f229
2283849,1434402,Rosales,Fabaceae,legumes,C. D. Walcott,1905,United States,California,http://n2t.net/ark:/65665/304a5f23c-2950-43ab-a453-5362cef15bf1
2286389,1622315,Rosales,Fabaceae,legumes,C. D. Walcott,1905,United States,California,http://n2t.net/ark:/65665/303a7bb5f-59ee-4e95-99fe-ffacc1ea6c6a
1232353,1434397,Myrtales,Onagraceae,Evening primroses,C. D. Walcott,1905,United States,California,http://n2t.net/ark:/65665/31c62d193-813b-415e-9dd7-b01b535d7f15
3128388,1699658,Primulales,Primulaceae,Primroses,C. D. Walcott,1905,United States,California,http://n2t.net/ark:/65665/3cef913ed-d00d-4c24-9cef-59d8bbf92d41
3105900,1434405,Ericales,Pyrolaceae,Heather family,C. D. Walcott,1905,United States,California,http://n2t.net/ark:/65665/3a37c8e5d-3c09-4788-bba6-9db12b14c07b
3029721,1699659,Violales,Loasaceae,Loasa family,C. D. Walcott,1905,United States,Nevada,http://n2t.net/ark:/65665/38a99929a-16f2-4afe-aac9-83b5b04e0745
2744518,,Coniferales,Pinaceae,Pine family,C. D. Walcott,1905,United States,Nevada,http://n2t.net/ark:/65665/3d7d39d70-7f7e-4eb3-8e66-b91cbf51ee13
2744927,1434393,Coniferales,Pinaceae,Pine family,C. D. Walcott,1905,United States,Nevada,http://n2t.net/ark:/65665/351193915-9b1d-46f1-9931-99e54ecc9b57
3146473,1582093,Solanales,Convolvulaceae,Morning-glories,C. D. Walcott,1905,Canada,New Brunswick,http://n2t.net/ark:/65665/301d1f878-5b3b-426e-9d37-620a85101af6
1831171,48762,Asterales,Asteraceae,Daisy family ,C. D. Walcott,1905,United States,New Mexico,http://n2t.net/ark:/65665/3f709f71c-516c-495b-80d2-1f12c8194156
2285143,20579,Rosales,Fabaceae,legumes,C. D. Walcott,1905,United States,New Mexico,http://n2t.net/ark:/65665/345243316-4ffa-4343-b407-65e2eaa6f214
2857016,1567163,Scrophulariales,Acanthaceae,Acanthus Family,C. D. Walcott,1905,United States,Tennessee,http://n2t.net/ark:/65665/32e6bd4c1-5f87-4a25-a771-fc3dd1ffd4fb
2980305,1622311,Ericales,Ericaceae,Heather family,C. D. Walcott,1905,United States,Tennessee,http://n2t.net/ark:/65665/3a0759016-d9ae-4cee-9915-88850c77a796
2958196,1567160,Ericales,Ericaceae,Heather family,C. D. Walcott,1905,United States,Tennessee,http://n2t.net/ark:/65665/30f95115e-494c-439e-9377-666a170be53c
3159752,1567164,Gentianales,Loganiaceae,Loganiaceae,C. D. Walcott,1905,United States,Tennessee,http://n2t.net/ark:/65665/338d8acf9-4316-40f4-ae03-9fc42b0af60c
77079,1567161,Orchidales,Orchidaceae,Orchids,C. D. Walcott,1905,United States,Tennessee,http://n2t.net/ark:/65665/38a5586f9-d899-427d-b8cf-f1125252c3e8
380916,1010214,Rosales,Rosaceae,Rose family,C. D. Walcott,1919,United States,Maryland,http://n2t.net/ark:/65665/30e222fb2-8201-41b6-ac51-8d18aa74c69a
380917,1010215,Rosales,Rosaceae,Rose family,C. D. Walcott,1919,United States,Maryland,http://n2t.net/ark:/65665/3ac19c7d5-7544-436e-a93d-7795fafcd549
395790,1010216,Liliales,Liliaceae,Lilies,C. D. Walcott,1919,United States,Maryland,http://n2t.net/ark:/65665/317b81362-2836-41eb-b9fe-7475da85a278
378370,1110865,Papaverales,Papaveraceae,Poppies,C. D. Walcott,1922,United States,District of Columbia,http://n2t.net/ark:/65665/3d6e27814-90a1-455f-814f-a3487b05aa40
2276912,1534566,Rosales,Fabaceae,legumes,C. D. Walcott,1932,United States,Oklahoma,http://n2t.net/ark:/65665/393e85802-38dc-4429-b21f-69ddaa9a078a
2068133,1580574,Coniferales,Pinaceae,Pine family,C. D. Walcott,1932,United States,Tennessee,http://n2t.net/ark:/65665/37ee94c46-fa9a-47a9-9d6f-3f15af211fc4
2334309,1622320,Rosales,Fabaceae,legumes,C. D. Walcott,1934,United States,Arkansas,http://n2t.net/ark:/65665/3881538c4-373e-401f-b8b0-12e17eb4348f
531654,1622312,Lamiales,Lamiaceae,Mints,C. D. Walcott,1934,United States,Tennessee,http://n2t.net/ark:/65665/344b155c4-2d3b-4fa0-82ce-8d5a6bf637c6
3177503,1699655,Solanales,Polemoniaceae,Pholox family,C. D. Walcott,1936,United States,California,http://n2t.net/ark:/65665/3bfc6204c-b5fd-4298-ab6e-1f71364f5586
2297565,1730909,Rosales,Fabaceae,legumes,C. D. Walcott,1937,United States,Colorado,http://n2t.net/ark:/65665/35e002829-9503-468e-90a7-d2aaffdefb1c
3091669,1730908,Apiales,Apiaceae,Umbellifers ,C. D. Walcott,1938,United States,Arizona,http://n2t.net/ark:/65665/39d0804dd-71b3-40e1-b933-0b654356cc80
1439346,1730907,Asterales,Asteraceae,Daisy family ,C. D. Walcott,1938,United States,Arizona,http://n2t.net/ark:/65665/353d97226-aff9-4a08-b5a3-aaf297416891
2440478,1730906,Rosales,Fabaceae,legumes,C. D. Walcott,1938,United States,Arizona,http://n2t.net/ark:/65665/3dcf25b97-3a00-4f41-861c-e0c4f46862bd
3173931,1730905,Solanales,Polemoniaceae,Pholox family,C. D. Walcott,1938,United States,Arizona,http://n2t.net/ark:/65665/3959fd42f-6a20-41eb-803b-33e1ab44c04e
3190806,1730904,Lamiales,Verbenaceae,Vervain family,C. D. Walcott,1938,United States,Arizona,http://n2t.net/ark:/65665/36423991f-24b0-43a7-bd63-880c098528c2
3119721,1730910,Primulales,Primulaceae,Primroses,C. D. Walcott,1938,United States,Utah,http://n2t.net/ark:/65665/304ae540f-2021-4472-91f5-4b28adf36f86
1927186,,Coniferales,Pinaceae,Pine family,C. D. Walcott,,United States,California,http://n2t.net/ark:/65665/31d29b6f9-6e8c-4fb2-bf7d-3b96f58fe6d8
1927164,,Coniferales,Pinaceae,Pine family,C. D. Walcott,,United States,California,http://n2t.net/ark:/65665/3fe0ad311-0612-44ec-a574-e8f8644bb34b
1355660,208828,Myrtales,Onagraceae,Evening primroses,M. V. Walcott,1900,Mexico,Colima,http://n2t.net/ark:/65665/38d98265a-6fb0-4c82-8f8c-26182c87d016
1776538,1836923,Asterales,Asteraceae,Daisy family ,M. V. Walcott,1905,United States,California,http://n2t.net/ark:/65665/35cb8942c-761e-4db1-b692-f82f6a6d22d4
2330073,1836929,Rosales,Fabaceae,legumes,M. V. Walcott,1905,United States,California,http://n2t.net/ark:/65665/38b0d4a72-c661-4c16-8d68-bba76db0213e
1505123,1433991,Polypodiales,Aspleniaceae,Spleenworts,M. V. Walcott,1905,Canada,Alberta,http://n2t.net/ark:/65665/30b628e8a-996f-4e00-8b40-759f94b62811
2175226,1434014,Asterales,Asteraceae,Daisy family ,M. V. Walcott,1905,Canada,Alberta,http://n2t.net/ark:/65665/33d1e3148-4cc2-44e2-bf6f-76ddae127c8b
2175227,1434011,Asterales,Asteraceae,Daisy family ,M. V. Walcott,1905,Canada,Alberta,http://n2t.net/ark:/65665/3591ceec4-7760-416a-af12-0a1cf3015002
2175597,1433976,Asterales,Asteraceae,Daisy family ,M. V. Walcott,1905,Canada,Alberta,http://n2t.net/ark:/65665/3c70d39ca-8130-4f30-918f-99c4a5ab1cf3
1730249,1434002,Asterales,Asteraceae,Daisy family ,M. V. Walcott,1905,Canada,Alberta,http://n2t.net/ark:/65665/3348c45f7-e766-43d6-a8f3-c8897af66c3a
1732932,1433979,Asterales,Asteraceae,Daisy family ,M. V. Walcott,1905,Canada,Alberta,http://n2t.net/ark:/65665/3c8af1fae-e004-449b-92dd-b9e42722f1ee
1802336,1433977,Asterales,Asteraceae,Daisy family ,M. V. Walcott,1905,Canada,Alberta,http://n2t.net/ark:/65665/3b0e168b8-de28-4008-ad4f-bdaf7c37c82f
1802472,1619159,Asterales,Asteraceae,Daisy family ,M. V. Walcott,1905,Canada,Alberta,http://n2t.net/ark:/65665/30cdbd061-b0df-40ba-9889-87aee54af7f2
1803281,1433978,Asterales,Asteraceae,Daisy family ,M. V. Walcott,1905,Canada,Alberta,http://n2t.net/ark:/65665/38a5e57f0-2406-4ca3-972b-a3c7b290c834
1712928,1433984,Asterales,Asteraceae,Daisy family ,M. V. Walcott,1905,Canada,Alberta,http://n2t.net/ark:/65665/37482693d-f633-45f1-86b8-3f5374073d31
1713180,1434013,Asterales,Asteraceae,Daisy family ,M. V. Walcott,1905,Canada,Alberta,http://n2t.net/ark:/65665/3d14f38fd-2bbc-4e37-9df5-c1a54bfb5a82
1830356,1433992,Asterales,Asteraceae,Daisy family ,M. V. Walcott,1905,Canada,Alberta,http://n2t.net/ark:/65665/345c00223-5ce8-44a2-807f-63a2a9b1e7e4
2903965,1433998,Lamiales,Boraginaceae,Borages ,M. V. Walcott,1905,Canada,Alberta,http://n2t.net/ark:/65665/3d97811a9-7f07-41b4-8a8e-2c35b4319407
2910828,1434018,Lamiales,Boraginaceae,Borages ,M. V. Walcott,1905,Canada,Alberta,http://n2t.net/ark:/65665/3f213178b-6a95-484f-a0ad-ae4b703d7678
178076,3046523,Caryophyllales,Cactaceae,Cactus,M. V. Walcott,1905,Canada,Alberta,http://n2t.net/ark:/65665/360a320f8-e882-4925-8dff-188e6981862b
2985124,1434024,Ericales,Ericaceae,Heather family,M. V. Walcott,1905,Canada,Alberta,http://n2t.net/ark:/65665/31109a141-130f-46f7-a2e2-700958b4e00e
2985125,1434010,Ericales,Ericaceae,Heather family,M. V. Walcott,1905,Canada,Alberta,http://n2t.net/ark:/65665/3153b3b20-4780-43d7-b7ad-e69c67a6e446
2990780,1085844,Ericales,Ericaceae,Heather family,M. V. Walcott,1905,Canada,Alberta,http://n2t.net/ark:/65665/3d25df81a-0290-4538-8599-10c3838cd7f2
2328565,1085870,Rosales,Fabaceae,legumes,M. V. Walcott,1905,Canada,Alberta,http://n2t.net/ark:/65665/3285ec8bf-66be-4681-b347-cb9071818ce4
2331370,1085868,Rosales,Fabaceae,legumes,M. V. Walcott,1905,Canada,Alberta,http://n2t.net/ark:/65665/3d87f0202-8548-4cdb-bc47-99749fed2b55
2042391,1085866,Rosales,Fabaceae,legumes,M. V. Walcott,1905,Canada,Alberta,http://n2t.net/ark:/65665/31b7d9197-4c8c-4c85-a00e-9fe8a8b6bd61
2042629,1433995,Rosales,Fabaceae,legumes,M. V. Walcott,1905,Canada,Alberta,http://n2t.net/ark:/65665/3fa95ac99-950c-4e01-87e4-fb4fbe6d50ae
2042630,1434015,Rosales,Fabaceae,legumes,M. V. Walcott,1905,Canada,Alberta,http://n2t.net/ark:/65665/32e9f06c0-c480-4070-9a04-f071410cefd5
2040526,1085867,Rosales,Fabaceae,legumes,M. V. Walcott,1905,Canada,Alberta,http://n2t.net/ark:/65665/3afcca987-3dc3-44db-bd4b-dd32d0e14a56
2445158,1085872,Rosales,Fabaceae,legumes,M. V. Walcott,1905,Canada,Alberta,http://n2t.net/ark:/65665/382f378a8-5ac6-47c3-a17e-3688e8882ddc
3238042,1433983,Gentianales,Gentianaceae,Gentians,M. V. Walcott,1905,Canada,Alberta,http://n2t.net/ark:/65665/34f8de43c-3dde-426c-9d37-6ec26d18050c
3237292,1085842,Gentianales,Gentianaceae,Gentians,M. V. Walcott,1905,Canada,Alberta,http://n2t.net/ark:/65665/35caa0548-47eb-449d-b98e-187d53aca3fb
3237568,1433999,Gentianales,Gentianaceae,Gentians,M. V. Walcott,1905,Canada,Alberta,http://n2t.net/ark:/65665/35305a056-942e-4d21-8b7c-78e0fe64da0c
3187543,1434006,Solanales,Hydrophyllaceae,Waterleaf family,M. V. Walcott,1905,Canada,Alberta,http://n2t.net/ark:/65665/3e9589f45-c1e6-4be5-b592-89458097cd36
3187686,1434007,Solanales,Hydrophyllaceae,Waterleaf family,M. V. Walcott,1905,Canada,Alberta,http://n2t.net/ark:/65665/3189c95f1-8394-4d12-ae9e-38567e368a94
2064083,1433993,Coniferales,Pinaceae,Pine family,M. V. Walcott,1905,Canada,Alberta,http://n2t.net/ark:/65665/3bc847827-f1a0-4e44-a982-1a12c7e6c85d
2744813,,Coniferales,Pinaceae,Pine family,M. V. Walcott,1905,Canada,Alberta,http://n2t.net/ark:/65665/322e2bad5-70ab-4955-9b9e-7a46df1d99c7
3123158,1434019,Primulales,Primulaceae,Primroses,M. V. Walcott,1905,Canada,Alberta,http://n2t.net/ark:/65665/3d7a0277a-fea2-4b67-b268-ddfc4d67c115
3011436,1433985,Violales,Violaceae,Violet family,M. V. Walcott,1905,Canada,Alberta,http://n2t.net/ark:/65665/309fc84de-e783-4c72-b004-ce53a8e78945
1756012,1534410,Asterales,Asteraceae,Daisy family ,M. V. Walcott,1905,United States,Arizona,http://n2t.net/ark:/65665/38e7c3b05-3c09-4e7e-b769-316d3ccd9d43
2307982,1631697,Rosales,Fabaceae,legumes,M. V. Walcott,1905,United States,Arizona,http://n2t.net/ark:/65665/3ba56d894-c5c1-4d88-ac68-7e05de5e2160
991574,1534409,Myrtales,Onagraceae,Evening primroses,M. V. Walcott,1905,United States,Arizona,http://n2t.net/ark:/65665/3aec9bddd-32f3-48b4-9860-69a819aa4e3d
77141,1631700,Orchidales,Orchidaceae,Orchids,M. V. Walcott,1905,United States,Arizona,http://n2t.net/ark:/65665/3db186ffd-b9b2-47fc-8fec-5f19134cff54
1505093,1085903,Polypodiales,Aspleniaceae,Spleenworts,M. V. Walcott,1905,Canada,British Columbia,http://n2t.net/ark:/65665/3a5068220-9b03-4edf-8d70-decbe4c65dcc
2175211,1085826,Asterales,Asteraceae,Daisy family ,M. V. Walcott,1905,Canada,British Columbia,http://n2t.net/ark:/65665/3c3ae3c33-9b9e-43c3-a8ad-56a478375863
2175229,888543,Asterales,Asteraceae,Daisy family ,M. V. Walcott,1905,Canada,British Columbia,http://n2t.net/ark:/65665/35dd501a3-d716-495a-aed9-df93cf93dbb9
2175598,1085825,Asterales,Asteraceae,Daisy family ,M. V. Walcott,1905,Canada,British Columbia,http://n2t.net/ark:/65665/300170f6c-45da-47f9-8cf3-48dc7def40a2
2175599,1085824,Asterales,Asteraceae,Daisy family ,M. V. Walcott,1905,Canada,British Columbia,http://n2t.net/ark:/65665/373f14e3e-44fa-4ac4-9911-54b9d3634e5b
1734346,1085810,Asterales,Asteraceae,Daisy family ,M. V. Walcott,1905,Canada,British Columbia,http://n2t.net/ark:/65665/3866b4711-3a4e-4bb0-8315-34469cc3d92a
1731068,1085812,Asterales,Asteraceae,Daisy family ,M. V. Walcott,1905,Canada,British Columbia,http://n2t.net/ark:/65665/3197ef0e7-bf3a-4980-ba6e-7cdd98648148
1816416,1085809,Asterales,Asteraceae,Daisy family ,M. V. Walcott,1905,Canada,British Columbia,http://n2t.net/ark:/65665/3a6485060-bb55-4020-a17a-dcacf2c556dc
2177130,1085823,Asterales,Asteraceae,Daisy family ,M. V. Walcott,1905,Canada,British Columbia,http://n2t.net/ark:/65665/3f15bd557-37d6-4ca1-86cf-ab8771743095
1710400,1085817,Asterales,Asteraceae,Daisy family ,M. V. Walcott,1905,Canada,British Columbia,http://n2t.net/ark:/65665/3a0bf95fd-699d-434e-89c3-568568fc3aaf
1710549,1085816,Asterales,Asteraceae,Daisy family ,M. V. Walcott,1905,Canada,British Columbia,http://n2t.net/ark:/65665/31044cd76-dbc9-4aaa-bba2-3b7b21b46ad3
1710812,1085819,Asterales,Asteraceae,Daisy family ,M. V. Walcott,1905,Canada,British Columbia,http://n2t.net/ark:/65665/30ff5fba6-11ce-48ee-8d08-d7d177227b98
1711211,1433959,Asterales,Asteraceae,Daisy family ,M. V. Walcott,1905,Canada,British Columbia,http://n2t.net/ark:/65665/3d09dc3d2-3c80-445e-a057-41be4f369c23
1712924,1085818,Asterales,Asteraceae,Daisy family ,M. V. Walcott,1905,Canada,British Columbia,http://n2t.net/ark:/65665/3fa2b8860-cc1c-425f-a08e-1b23b848aa38
1712952,1433960,Asterales,Asteraceae,Daisy family ,M. V. Walcott,1905,Canada,British Columbia,http://n2t.net/ark:/65665/368a9b40b-6b5a-463c-993a-07f930cfbca8
1712953,1433961,Asterales,Asteraceae,Daisy family ,M. V. Walcott,1905,Canada,British Columbia,http://n2t.net/ark:/65665/3ea1d7eeb-ea18-43f1-9b04-a75a362c699c
1706262,1085924,Asterales,Asteraceae,Daisy family ,M. V. Walcott,1905,Canada,British Columbia,http://n2t.net/ark:/65665/36881b722-17c6-449e-bbd6-10e42d3eb625
2180102,1085822,Asterales,Asteraceae,Daisy family ,M. V. Walcott,1905,Canada,British Columbia,http://n2t.net/ark:/65665/31f325668-72d2-4ede-b654-e116dc788534
1830546,1085815,Asterales,Asteraceae,Daisy family ,M. V. Walcott,1905,Canada,British Columbia,http://n2t.net/ark:/65665/32894e523-fc6d-4f28-b583-3884df7804c3
1830931,1085813,Asterales,Asteraceae,Daisy family ,M. V. Walcott,1905,Canada,British Columbia,http://n2t.net/ark:/65665/3bd1405c4-f0b5-4a46-a80c-e0b9140bf759
1824616,1085808,Asterales,Asteraceae,Daisy family ,M. V. Walcott,1905,Canada,British Columbia,http://n2t.net/ark:/65665/3f34fd883-5b90-4e65-bbf3-cd469a7357dc
