SI_UNIT,YEAR,FREQUENCY
NMNH,1880,1
NMNH,1890,1
NMNH,1900,3
NMNH,1910,2
NMNH,1920,3
NMNH,1930,0
NMNH,1940,6
NMNH,1950,1
NMNH,1960,2
NMNH,1970,5
NMNH,1980,7
NMNH,1990,4
NMNH,2000,5
NMNH,2010,9
CASTLE,1880,0
CASTLE,1890,0
CASTLE,1900,0
CASTLE,1910,1
CASTLE,1920,0
CASTLE,1930,0
CASTLE,1940,0
CASTLE,1950,0
CASTLE,1960,0
CASTLE,1970,0
CASTLE,1980,0
CASTLE,1990,0
CASTLE,2000,0
CASTLE,2010,0
MCI,1880,0
MCI,1890,0
MCI,1900,0
MCI,1910,0
MCI,1920,0
MCI,1930,0
MCI,1940,0
MCI,1950,0
MCI,1960,0
MCI,1970,0
MCI,1980,3
MCI,1990,1
MCI,2000,1
MCI,2010,0
NZP,1880,0
NZP,1890,0
NZP,1900,0
NZP,1910,0
NZP,1920,0
NZP,1930,0
NZP,1940,0
NZP,1950,0
NZP,1960,0
NZP,1970,1
NZP,1980,1
NZP,1990,0
NZP,2000,0
NZP,2010,0
SAO,1880,0
SAO,1890,1
SAO,1900,4
SAO,1910,1
SAO,1920,3
SAO,1930,0
SAO,1940,0
SAO,1950,0
SAO,1960,2
SAO,1970,0
SAO,1980,1
SAO,1990,0
SAO,2000,0
SAO,2010,0
SERC,1880,0
SERC,1890,0
SERC,1900,0
SERC,1910,0
SERC,1920,0
SERC,1930,0
SERC,1940,0
SERC,1950,0
SERC,1960,0
SERC,1970,1
SERC,1980,0
SERC,1990,1
SERC,2000,2
SERC,2010,0
STRI,1880,0
STRI,1890,0
STRI,1900,0
STRI,1910,0
STRI,1920,0
STRI,1930,0
STRI,1940,0
STRI,1950,0
STRI,1960,2
STRI,1970,1
STRI,1980,0
STRI,1990,0
STRI,2000,0
STRI,2010,0